Rank,Player,basic_v4,team,pos,minutes,minutes_per_game
170,Saddiq Bey,0.8195613792885376,NOP,SF,2246.0,31.2
171,Caris LeVert,0.8207203515439525,DET,SG,1154.0,19.2
172,Sidy Cissoko,0.8236009276982872,POR,SF,1435.0,19.1
173,Keaton Wallace,0.8269789778512288,ATL,PG,536.0,10.1
174,Norman Powell,0.8287445848324103,MIA,SG,1717.0,29.6
175,Jalen Williams,0.8288480246533185,OKC,SG,936.0,28.4
176,Anfernee Simons,0.8292933936733301,2TM,SG,1372.0,24.9
177,Jordan Poole,0.829615623170402,NOP,PG,933.0,23.9
178,Josh Minott,0.8304883322631089,2TM,PF,834.0,17.0
179,Daeqwon Plowden,0.8324389115333428,SAC,SG,844.0,26.4
180,Jaren Jackson Jr.,0.834521283368715,2TM,C,1454.0,30.3
181,Zach LaVine,0.8362773537683571,SAC,SG,1224.0,31.4
182,Jordan Walsh,0.8366529405776443,BOS,PF,1212.0,17.8
183,Collin Murray-Boyles,0.8366651611688177,TOR,PF,1246.0,21.9
184,Bam Adebayo,0.8369510587741144,MIA,C,2365.0,32.4
185,Luguentz Dort,0.8393965730180654,OKC,SF,1849.0,26.8
186,Justin Champagnie,0.8441223258734669,WAS,SF,1377.0,20.0
187,Tre Mann,0.8462571253587129,CHO,PG,669.0,12.6
188,Jalen Pickett,0.8486637720136568,DEN,SG,807.0,16.1
189,Matas Buzelis,0.852600140056674,CHI,PF,2248.0,29.2
190,Gary Payton II,0.8551606744327195,GSW,SG,1142.0,15.6
191,Nae'Qwan Tomlin,0.8569481063539413,CLE,PF,1004.0,15.7
192,Harrison Barnes,0.8584093844479918,SAS,PF,1986.0,25.8
193,Daniss Jenkins,0.8627903855846257,DET,PG,1455.0,20.2
194,Dennis Schröder,0.8633891601264733,2TM,PG,1697.0,24.2
195,Rayan Rupert,0.8635987805906454,2TM,SG,1072.0,16.8
196,Pat Spencer,0.8667181158935243,GSW,PG,1229.0,18.6
197,Bobby Portis,0.8668943663904773,MIL,PF,1619.0,24.2
198,Tre Jones,0.8671947430793593,CHI,PG,1752.0,27.0
199,Svi Mykhailiuk,0.8703633505519258,UTA,SF,1156.0,23.1
200,Corey Kispert,0.8706511920041461,2TM,SF,1080.0,18.6
201,Al Horford,0.8734922055221871,GSW,C,969.0,21.5
202,Scoot Henderson,0.8741065441430107,POR,PG,748.0,24.9
203,Jaylin Williams,0.8759163599395638,OKC,PF,1277.0,19.6
204,De'Aaron Fox,0.8761556106504023,SAS,PG,2231.0,31.0
205,Ryan Rollins,0.8763578283232885,MIL,PG,2376.0,32.1
206,Nicolas Batum,0.8795096699092785,LAC,PF,1295.0,17.5
207,Reed Sheppard,0.8796427910678353,HOU,SG,2147.0,26.2
208,Jimmy Butler,0.8828899737073662,GSW,SF,1182.0,31.1
209,Isaiah Joe,0.8859089969669454,OKC,SG,1507.0,21.2
210,Austin Reaves,0.8891632306681041,LAL,SG,1762.0,34.5
211,Jordan Hawkins,0.8896886454752355,NOP,SG,692.0,13.6
212,Dillon Brooks,0.8916718252425303,PHO,SF,1702.0,30.4
213,Klay Thompson,0.8954441600754839,DAL,SF,1497.0,21.7
214,Luke Kennard,0.8973907293779896,2TM,SG,1681.0,21.6
215,Drew Eubanks,0.8998776724518077,SAC,C,552.0,13.1
216,Isaac Okoro,0.9011657544750621,CHI,SG,1695.0,26.9
217,Maxime Raynaud,0.9014429454687025,SAC,C,1964.0,26.5
218,Scottie Barnes,0.9047485755700807,TOR,PF,2681.0,33.5
219,Mike Conley,0.9161542960737892,MIN,PG,991.0,18.4
220,Sam Merrill,0.9196118170797855,CLE,SG,1377.0,26.5
221,Ron Holland,0.9219856775474949,DET,SF,1551.0,19.9
222,Oso Ighodaro,0.9245095811107574,PHO,PF,1808.0,22.0
223,Josh Okogie,0.9264078164848536,HOU,SG,1354.0,17.4
224,Brook Lopez,0.9279126545913413,LAC,C,1635.0,21.8
225,Jakob Poeltl,0.9297194060859185,TOR,C,1149.0,25.0
226,Jaden Hardy,0.9345678293952823,2TM,SG,898.0,15.8
227,Thomas Bryant,0.9406105862445999,CLE,C,732.0,12.2
228,Justin Edwards,0.9442510359859242,PHI,SF,977.0,15.3
229,Dyson Daniels,0.9453178265163421,ATL,SG,2520.0,33.2
230,Tristan Vukcevic,0.946984679481898,WAS,C,671.0,13.7
231,Lauri Markkanen,0.9492362624402225,UTA,PF,1443.0,34.4
232,Ja'Kobe Walter,0.9506275636743358,TOR,SG,1474.0,20.5
233,Keegan Murray,0.9508411125534958,SAC,PF,793.0,34.5
234,Michael Porter Jr.,0.9515334563128802,BRK,SF,1689.0,32.5
235,Jarrett Allen,0.9574919453047849,CLE,C,1519.0,27.1
236,Landry Shamet,0.9612693878110788,NYK,SG,1171.0,23.0
237,Jamison Battle,0.9637073924129048,TOR,SF,517.0,8.5
238,Herbert Jones,0.9649576993521131,NOP,SF,1588.0,28.4
239,Sharife Cooper,0.9680688472967092,WAS,PG,700.0,17.1
240,Kevin Durant,0.9702988462514924,HOU,SF,2840.0,36.4
241,Spencer Jones,0.9728704747870588,DEN,SF,1417.0,22.1
242,Mouhamed Gueye,0.9774234971215747,ATL,PF,1179.0,15.3
243,Paolo Banchero,0.9796533450177747,ORL,PF,2502.0,34.8
244,Josh Green,0.9819017527093566,CHO,SG,908.0,15.7
245,Ziaire Williams,0.9824063902924061,BRK,SF,1281.0,22.9
246,Vince Williams Jr.,0.9852011521695108,2TM,SG,820.0,20.5
247,Collin Sexton,0.9860931768012616,2TM,SG,1614.0,23.7
248,Bub Carrington,0.9867899668917952,WAS,PG,2271.0,27.7
249,Jarred Vanderbilt,0.9895194440884196,LAL,PF,1128.0,17.4
250,Sam Hauser,0.9903198139050285,BOS,PF,1934.0,24.8
251,Marvin Bagley III,0.9915902811094965,2TM,PF,1201.0,20.0
252,Duncan Robinson,0.9917238813664028,DET,SG,2113.0,27.4
253,Walter Clayton,0.994433664732501,2TM,PG,1410.0,20.4
254,Derik Queen,0.994473680722138,NOP,C,2023.0,25.0
255,Jalen Smith,0.9947228835521096,CHI,C,1095.0,20.7
256,Bryce McGowens,0.9953433393881653,NOP,SG,880.0,21.0
257,Jalen Green,1.002758012604329,PHO,SG,828.0,25.9
258,Jrue Holiday,1.0048241040352166,POR,PG,1560.0,29.4
259,Anthony Edwards,1.0084532323804318,MIN,SG,2137.0,35.0
260,Kevin Love,1.015585246678196,UTA,PF,613.0,16.6
261,Kristaps Porziņģis,1.0199012659055522,2TM,C,769.0,24.0
262,A.J. Green,1.0225011211438455,MIL,SG,2270.0,29.1
263,Will Richard,1.0229206947225187,GSW,SG,1377.0,20.0
264,Gary Harris,1.0236367303986986,MIL,SG,661.0,13.8
265,Craig Porter Jr.,1.026235398469816,CLE,PG,1148.0,17.9
266,Davion Mitchell,1.0413991389152677,MIA,PG,2000.0,28.6
267,Cam Spencer,1.042779686883235,MEM,SG,1714.0,23.8
268,Keyonte George,1.0504390644816628,UTA,PG,1786.0,33.1
269,Dean Wade,1.0557043414780884,CLE,PF,1318.0,22.3
270,Evan Mobley,1.0608320051271876,CLE,PF,2074.0,31.9
271,Gabe Vincent,1.063733370558732,2TM,PG,879.0,16.6
272,Jaylen Clark,1.0680932818334146,MIN,SG,888.0,13.1
273,Shaedon Sharpe,1.0685708857696856,POR,SG,1471.0,29.4
274,Rui Hachimura,1.0709136612327301,LAL,PF,1927.0,28.3
275,LeBron James,1.0716317038605225,LAL,SF,1989.0,33.2
276,Jett Howard,1.0723047454289862,ORL,SF,695.0,12.6
277,Elijah Harkless,1.075600056740873,UTA,SG,545.0,21.0
278,Luka Garza,1.0772930483846683,BOS,C,1118.0,16.2
279,Tyler Kolek,1.0821747280146266,NYK,PG,727.0,11.7
280,Alperen Şengün,1.09013420389666,HOU,C,2398.0,33.3
281,Jamal Murray,1.1008541325484307,DEN,PG,2652.0,35.4
282,Myles Turner,1.1016663451202195,MIL,C,1912.0,26.9
283,Dorian Finney-Smith,1.102406677459017,HOU,PF,620.0,16.8
284,Gary Trent Jr.,1.1145760576153436,MIL,SG,1377.0,21.2
285,Tyrese Maxey,1.1158542290366171,PHI,PG,2661.0,38.0
286,Keon Ellis,1.135150379333884,2TM,SG,1478.0,20.5
287,Kris Dunn,1.1377518526570825,LAC,PG,2230.0,27.2
288,Deandre Ayton,1.151729468147242,LAL,C,1958.0,27.2
289,Coby White,1.1570846546295268,2TM,SG,1249.0,25.0
290,Rob Dillingham,1.1597256981968431,2TM,PG,970.0,14.9
291,Jahmai Mashack,1.1610351839542825,MEM,SG,673.0,21.7
292,Tim Hardaway Jr.,1.1662980363291104,DEN,SG,2127.0,26.6
293,Andrew Nembhard,1.1785966532205125,IND,PG,1786.0,31.3
294,Kam Jones,1.190745216594335,IND,SG,616.0,16.6
295,Jordan Goodwin,1.1950307153966004,PHO,PG,1572.0,22.5
296,Micah Peavy,1.1992221792691344,NOP,SG,913.0,15.0
297,Alex Caruso,1.202024649496079,OKC,SG,1020.0,18.2
298,De'Anthony Melton,1.2096790586602837,GSW,PG,1125.0,23.0
299,Donovan Mitchell,1.2128528213012866,CLE,SG,2342.0,33.5
300,Mark Williams,1.2304553308682487,PHO,C,1416.0,23.6
301,Anthony Davis,1.236582582252687,DAL,PF,626.0,31.3
302,Stephon Castle,1.236623687245054,SAS,PG,2038.0,30.0
303,Jamal Shead,1.2381166903956644,TOR,PG,1852.0,22.6
304,Daniel Gafford,1.2420555366619837,DAL,C,1195.0,21.7
305,Nolan Traoré,1.2570248103532171,BRK,PG,1243.0,22.2
306,Stephen Curry,1.2576478707244165,GSW,PG,1329.0,30.9
307,James Harden,1.2580055165688389,2TM,PG,2438.0,34.8
308,Jalen Brunson,1.2700441161106601,NYK,PG,2590.0,35.0
309,Karlo Matković,1.272420333896314,NOP,PF,912.0,14.7
310,Isaiah Jackson,1.275545179296815,2TM,C,908.0,16.5
311,Devin Booker,1.2767192076424267,PHO,SG,2146.0,33.5
312,Jalen Johnson,1.276883957864446,ATL,SF,2532.0,35.2
313,Moussa Diabaté,1.2796655326439936,CHO,C,1899.0,26.0
314,Ivica Zubac,1.279822139102733,2TM,C,1446.0,30.1
315,Darius Garland,1.281801700985227,2TM,PG,1344.0,29.9
316,Jonathan Isaac,1.2821798040226324,ORL,PF,521.0,10.0
317,Cam Thomas,1.2836376592831793,2TM,SG,881.0,21.0
318,Tyus Jones,1.2840136521760346,3TM,PG,979.0,14.6
319,Alex Sarr,1.3015576954416848,WAS,C,1305.0,27.2
320,Deni Avdija,1.3111510872308576,POR,SF,2199.0,33.3
321,Karl-Anthony Towns,1.318375279682745,NYK,C,2322.0,31.0
322,Javonte Green,1.326409563951066,DET,SG,1446.0,17.6
323,Neemias Queta,1.327327537990126,BOS,C,1926.0,25.3
324,Dwight Powell,1.3330862929574128,DAL,C,904.0,14.3
325,Domantas Sabonis,1.3385266545008867,SAC,C,564.0,29.7
326,Jaxson Hayes,1.3487138015326308,LAL,C,1207.0,18.3
327,Jayson Tatum,1.3494977799591028,BOS,PF,522.0,32.6
328,Russell Westbrook,1.3536937184958893,SAC,SF,1853.0,29.0
329,Joel Embiid,1.3548785644093868,PHI,C,1201.0,31.6
330,Cason Wallace,1.3564649593762548,OKC,SG,2046.0,26.6
331,Ben Saraf,1.356866840749516,BRK,SG,916.0,20.8
332,Jalen Duren,1.365874065532765,DET,C,1976.0,28.2
333,Isaiah Hartenstein,1.3722715357504607,OKC,C,1137.0,24.2
334,Jalen Suggs,1.3739589437218158,ORL,PG,1574.0,27.6
335,Luke Kornet,1.3755612745823553,SAS,C,1430.0,21.0
336,Jaylen Brown,1.4020732963913982,BOS,SF,2443.0,34.4
337,Draymond Green,1.4053526732451946,GSW,PF,1869.0,27.5
338,Kevin Porter Jr.,1.405545153485621,MIL,PG,1261.0,33.2
339,Isaiah Collier,1.4203874830387617,UTA,PG,1517.0,25.7
340,Ryan Nembhard,1.4205868232047891,DAL,PG,1171.0,19.5
341,Kawhi Leonard,1.4262720213519509,LAC,SF,2085.0,32.1
342,Ausar Thompson,1.4382893757862656,DET,SF,1896.0,26.0
343,Rudy Gobert,1.4427154228821302,MIN,C,2380.0,31.3
344,Kel'el Ware,1.446088819441482,MIA,C,1704.0,22.1
345,John Konchar,1.4477040956016516,2TM,SG,1115.0,19.9
346,Chet Holmgren,1.4568244205749388,OKC,PF,1997.0,28.9
