Rank,Player,physical_distance,team,pos
317,Anthony Davis,1.4237246414091083,DAL,PF
318,James Harden,1.4241150038881094,2TM,PG
319,Daniel Gafford,1.424956449238468,DAL,C
320,CJ McCollum,1.4286717836309015,2TM,PG
321,Dwight Powell,1.4302313656707024,DAL,C
322,Bones Hyland,1.4305443489008174,MIN,PG
323,Day'Ron Sharpe,1.4483555095910758,BRK,C
324,Jevon Carter,1.4554510271021501,2TM,PG
325,Aaron Holiday,1.469120071318957,HOU,PG
326,Rob Dillingham,1.4833689310539102,2TM,PG
327,Jakob Poeltl,1.4973340364210392,TOR,C
328,Jose Alvarado,1.5028280722307303,2TM,PG
329,Wendell Carter Jr.,1.5328898602291199,ORL,C
330,T.J. McConnell,1.5344374133546035,IND,PG
331,Sharife Cooper,1.5712271973448475,WAS,PG
332,Nicolas Batum,1.580650410679968,LAC,PF
333,Luke Kornet,1.5821387726576868,SAS,C
334,Jase Richardson,1.586395464195617,ORL,SG
335,Maxime Raynaud,1.589170391140701,SAC,C
336,Ryan Kalkbrenner,1.6051932315375317,CHO,C
337,Russell Westbrook,1.641953615731286,SAC,SF
338,Steven Adams,1.7236062230297338,HOU,C
339,Ryan Nembhard,1.7296704399048413,DAL,PG
340,Zion Williamson,1.7560606260031764,NOP,PF
341,Kevin Durant,1.850181405086497,HOU,SF
342,Joel Embiid,1.8515707790564366,PHI,C
343,Rudy Gobert,1.8820845192269213,MIN,C
344,Kevin Love,1.8937245048950762,UTA,PF
345,Stephen Curry,1.8959930262924707,GSW,PG
346,Victor Wembanyama,1.8981058240728559,SAS,C
347,Al Horford,1.938652596675301,GSW,C
348,Andre Drummond,1.9980706717513572,PHI,C
349,Mike Conley,2.1964057911101045,MIN,PG
350,Donovan Clingan,2.257036366357461,POR,C
351,LeBron James,2.317323565381406,LAL,SF
352,Brook Lopez,2.57561563970571,LAC,C
