Rank,Player,basic_v5,team,pos,minutes,minutes_per_game
280,Gary Trent Jr.,1.0955854933714024,MIL,SG,1377.0,21.2
281,Jordan Hawkins,1.1063850319278672,NOP,SG,692.0,13.6
282,Javonte Green,1.1068599997263484,DET,SG,1446.0,17.6
283,Josh Green,1.1092204291991163,CHO,SG,908.0,15.7
284,Dorian Finney-Smith,1.1098801877296494,HOU,PF,620.0,16.8
285,Brandon Ingram,1.1124164435537227,TOR,SF,2604.0,33.8
286,Donovan Mitchell,1.113374771201638,CLE,SG,2342.0,33.5
287,Tim Hardaway Jr.,1.1146301855985412,DEN,SG,2127.0,26.6
288,Stephen Curry,1.1158934118429855,GSW,PG,1329.0,30.9
289,Jalen Suggs,1.1248133137911067,ORL,PG,1574.0,27.6
290,Ben Saraf,1.1253491388469878,BRK,SG,916.0,20.8
291,Alex Sarr,1.1253749494740604,WAS,C,1305.0,27.2
292,Marvin Bagley III,1.1310524568472493,2TM,PF,1201.0,20.0
293,Russell Westbrook,1.1317567803311352,SAC,SF,1853.0,29.0
294,Alperen Şengün,1.1350772162039706,HOU,C,2398.0,33.3
295,Gabe Vincent,1.1468174200606602,2TM,PG,879.0,16.6
296,Jamal Murray,1.1469113995353228,DEN,PG,2652.0,35.4
297,Nic Claxton,1.1544471881144696,BRK,C,1920.0,27.8
298,Zion Williamson,1.1568861387840081,NOP,PF,1841.0,29.7
299,Chet Holmgren,1.1592193486527829,OKC,PF,1997.0,28.9
300,John Konchar,1.1605120290617563,2TM,SG,1115.0,19.9
301,Bub Carrington,1.173198492265344,WAS,PG,2271.0,27.7
302,Jarred Vanderbilt,1.185058781863049,LAL,PF,1128.0,17.4
303,Andrew Nembhard,1.1865976082325518,IND,PG,1786.0,31.3
304,Jakob Poeltl,1.1867437616231924,TOR,C,1149.0,25.0
305,Anthony Davis,1.187370628388256,DAL,PF,626.0,31.3
306,Darius Garland,1.1880046496606802,2TM,PG,1344.0,29.9
307,Maxime Raynaud,1.1908623198174029,SAC,C,1964.0,26.5
308,Sam Hauser,1.1966822846353902,BOS,PF,1934.0,24.8
309,Jonathan Isaac,1.2077673618003322,ORL,PF,521.0,10.0
310,Draymond Green,1.2141033623789772,GSW,PF,1869.0,27.5
311,Karlo Matković,1.2242139960175915,NOP,PF,912.0,14.7
312,Josh Giddey,1.2249180176920094,CHI,PG,1731.0,32.1
313,Kel'el Ware,1.2288553008534713,MIA,C,1704.0,22.1
314,Domantas Sabonis,1.2532673704683022,SAC,C,564.0,29.7
315,A.J. Green,1.2560294636560154,MIL,SG,2270.0,29.1
316,Isaiah Stewart,1.271527126711388,DET,C,1317.0,22.7
317,Jayson Tatum,1.278928727057916,BOS,PF,522.0,32.6
318,Cam Thomas,1.2822302628599165,2TM,SG,881.0,21.0
319,Kyle Anderson,1.2902900256511995,3TM,SF,853.0,19.8
320,Kevin Durant,1.297184604713563,HOU,SF,2840.0,36.4
321,Dru Smith,1.305025727244329,MIA,SG,1141.0,16.3
322,Jalen Brunson,1.306658763685669,NYK,PG,2590.0,35.0
323,Kevin Porter Jr.,1.3085925249641122,MIL,PG,1261.0,33.2
324,Jarrett Allen,1.313102068818332,CLE,C,1519.0,27.1
325,Nicolas Batum,1.313376602178463,LAC,PF,1295.0,17.5
326,Deandre Ayton,1.3152556086488147,LAL,C,1958.0,27.2
327,Jay Huff,1.3164255712714954,IND,C,1719.0,21.0
328,Isaiah Collier,1.3343042588387126,UTA,PG,1517.0,25.7
329,Oso Ighodaro,1.3556475234048162,PHO,PF,1808.0,22.0
330,Devin Booker,1.3577031894114666,PHO,SG,2146.0,33.5
331,Cole Anthony,1.3602381155458843,MIL,PG,527.0,15.1
332,Kawhi Leonard,1.362308575595394,LAC,SF,2085.0,32.1
333,LaMelo Ball,1.3662292945338563,CHO,PG,2017.0,28.0
334,Joel Embiid,1.3755752200455353,PHI,C,1201.0,31.6
335,Drew Eubanks,1.3766107995820633,SAC,C,552.0,13.1
336,James Harden,1.3821545647277615,2TM,PG,2438.0,34.8
337,Jusuf Nurkić,1.3916972595595112,UTA,C,1083.0,26.4
338,Jonas Valančiūnas,1.3921426091658944,DEN,C,871.0,13.4
339,Ivica Zubac,1.3983582266497336,2TM,C,1446.0,30.1
340,Jaylen Brown,1.4047747703228817,BOS,SF,2443.0,34.4
341,Donovan Clingan,1.411520831927075,POR,C,2094.0,27.2
342,Ausar Thompson,1.4137840644487423,DET,SF,1896.0,26.0
343,Andre Drummond,1.4425961940911227,PHI,C,1231.0,19.5
344,Isaiah Jackson,1.4497319300923437,2TM,C,908.0,16.5
345,Isaiah Hartenstein,1.4550981536930752,OKC,C,1137.0,24.2
346,Ryan Nembhard,1.4606943993266495,DAL,PG,1171.0,19.5
347,Neemias Queta,1.4623245607647462,BOS,C,1926.0,25.3
348,Lonzo Ball,1.4657091548746983,CLE,PG,728.0,20.8
349,Jalen Duren,1.4696445448646471,DET,C,1976.0,28.2
350,Day'Ron Sharpe,1.4705172154194461,BRK,C,1160.0,18.7
351,Moussa Diabaté,1.482654081975733,CHO,C,1899.0,26.0
352,Ja Morant,1.4872055975918443,MEM,PG,569.0,28.5
353,Nick Richards,1.4903760362649,2TM,C,701.0,14.6
354,Daniel Gafford,1.4931668422844826,DAL,C,1195.0,21.7
355,Cade Cunningham,1.4945489194364256,DET,PG,2172.0,33.9
356,Paul Reed,1.506151514231243,DET,C,901.0,13.9
357,Dwight Powell,1.5065551494324803,DAL,C,904.0,14.3
358,Steven Adams,1.5441438266055638,HOU,C,730.0,22.8
359,DeMar DeRozan,1.579274104027355,SAC,PF,2406.0,31.2
360,Goga Bitadze,1.5856714606283944,ORL,C,972.0,15.2
361,Luke Kornet,1.6438667462501793,SAS,C,1430.0,21.0
362,Mark Williams,1.672163809182336,PHO,C,1416.0,23.6
363,T.J. McConnell,1.6912211458279254,IND,PG,963.0,17.2
364,Nikola Jokić,1.6923740238541904,DEN,C,2265.0,34.8
365,Rudy Gobert,1.715869093605985,MIN,C,2380.0,31.3
366,Clint Capela,1.717524034730915,HOU,C,926.0,12.3
367,Yves Missi,1.7196171702706478,NOP,C,1297.0,19.7
368,Giannis Antetokounmpo,1.7285356979404858,MIL,PF,1039.0,28.9
369,Luka Dončić,1.747468997863637,LAL,PG,2289.0,35.8
370,Shai Gilgeous-Alexander,1.771521767050401,OKC,PG,2259.0,33.2
371,Jaxson Hayes,1.7721870095525356,LAL,C,1207.0,18.3
372,Adem Bona,1.778549084976132,PHI,C,1234.0,17.4
373,Dylan Cardwell,1.8478628669651747,SAC,C,907.0,20.6
374,Victor Wembanyama,1.8882248589939294,SAS,C,1866.0,29.2
375,Ryan Kalkbrenner,1.8892206351245904,CHO,C,1479.0,21.4
376,Moussa Cisse,1.973111940438631,DAL,C,530.0,13.9
377,Jericho Sims,2.106118711314302,MIL,C,1318.0,19.7
378,Robert Williams,2.124804581058781,POR,C,1008.0,17.1
379,Mitchell Robinson,2.2730495509798097,NYK,C,1175.0,19.6
