Rank,Player,basic_v3,team,pos,minutes,minutes_per_game
259,Cam Spencer,1.0595111755703173,MEM,SG,1714.0,23.8
260,Paolo Banchero,1.0600691662299049,ORL,PF,2502.0,34.8
261,Jevon Carter,1.0663451903215793,2TM,PG,867.0,16.4
262,Klay Thompson,1.066377562442346,DAL,SF,1497.0,21.7
263,Gary Harris,1.0739352960628836,MIL,SG,661.0,13.8
264,Alex Sarr,1.084919373751934,WAS,C,1305.0,27.2
265,Keon Ellis,1.0919553624063922,2TM,SG,1478.0,20.5
266,Bam Adebayo,1.0931249353702968,MIA,C,2365.0,32.4
267,Jase Richardson,1.094061488304833,ORL,SG,587.0,10.9
268,Norman Powell,1.0955648664535778,MIA,SG,1717.0,29.6
269,Devin Booker,1.0960356248590257,PHO,SG,2146.0,33.5
270,Bones Hyland,1.1057689056437838,MIN,PG,1177.0,16.6
271,Stephon Castle,1.1063445959572114,SAS,PG,2038.0,30.0
272,Kyle Filipowski,1.1105021757869362,UTA,C,1801.0,23.4
273,Gabe Vincent,1.1112386898345525,2TM,PG,879.0,16.6
274,De'Aaron Fox,1.1127562429337923,SAS,PG,2231.0,31.0
275,Jaylen Brown,1.118419261630295,BOS,SF,2443.0,34.4
276,Adem Bona,1.1196321405662255,PHI,C,1234.0,17.4
277,Tre Jones,1.1264955211335343,CHI,PG,1752.0,27.0
278,Wendell Carter Jr.,1.1290575787689974,ORL,C,2288.0,29.3
279,CJ McCollum,1.132792562595455,2TM,PG,2264.0,29.8
280,DeMar DeRozan,1.136672880082277,SAC,PF,2406.0,31.2
281,Jericho Sims,1.1441191364518712,MIL,C,1318.0,19.7
282,Aaron Holiday,1.1621035473043533,HOU,PG,781.0,13.7
283,Josh Giddey,1.1639115220862435,CHI,PG,1731.0,32.1
284,Jakob Poeltl,1.1644246845904664,TOR,C,1149.0,25.0
285,Andrew Nembhard,1.173262084899806,IND,PG,1786.0,31.3
286,Tyrese Maxey,1.1816862314480998,PHI,PG,2661.0,38.0
287,Goga Bitadze,1.188817093402172,ORL,C,972.0,15.2
288,Keyonte George,1.1917784863736647,UTA,PG,1786.0,33.1
289,Daniss Jenkins,1.1923819292511904,DET,PG,1455.0,20.2
290,Jose Alvarado,1.1951772073719609,2TM,PG,1370.0,19.9
291,Yves Missi,1.2020212094111606,NOP,C,1297.0,19.7
292,Sharife Cooper,1.2051445099472686,WAS,PG,700.0,17.1
293,Al Horford,1.2201486754608228,GSW,C,969.0,21.5
294,Jrue Holiday,1.223456396358254,POR,PG,1560.0,29.4
295,Cole Anthony,1.237414506976639,MIL,PG,527.0,15.1
296,Chet Holmgren,1.2419583181300253,OKC,PF,1997.0,28.9
297,Tyler Kolek,1.2423044375015626,NYK,PG,727.0,11.7
298,Craig Porter Jr.,1.252317051019421,CLE,PG,1148.0,17.9
